selftest_#21/5   bpf_iter/task_tid
selftest_#21/6   bpf_iter/task_pid
selftest_#21/7   bpf_iter/task_pidfd
selftest_#21/8   bpf_iter/task_sleepable
selftest_#82/1   cls_redirect/cls_redirect_inlined
selftest_#82/2   cls_redirect/IPv4 TCP accept unknown (no hops, flags
selftest_#82/3   cls_redirect/IPv6 TCP accept unknown (no hops, flags
selftest_#88   core_kern_lskel
selftest_#121/5   fexit_bpf2bpf/func_sockmap_update
selftest_#177/1   ksyms_module/lskel
selftest_#178/1   l4lb_all/l4lb_inline
selftest_#178/2   l4lb_all/l4lb_noinline
selftest_#209   lwt_seg6local
selftest_#219   map_ptr
selftest_#397   setget_sockopt
selftest_#399   signal_pending
selftest_#411   snprintf_btf
selftest_#482/1   tcp_custom_syncookie/IPv4 TCP
selftest_#482/2   tcp_custom_syncookie/IPv6 TCP
selftest_#484/1   tcp_hdr_options/simple_estab
selftest_#484/2   tcp_hdr_options/no_exprm_estab
selftest_#484/3   tcp_hdr_options/syncookie_estab
selftest_#484/4   tcp_hdr_options/fastopen_estab
selftest_#484/5   tcp_hdr_options/fin
selftest_#484/6   tcp_hdr_options/misc
selftest_#489/1   test_bpf_ma/batch_alloc_free
selftest_#489/2   test_bpf_ma/free_through_map_free
selftest_#489/3   test_bpf_ma/batch_percpu_alloc_free
selftest_#489/4   test_bpf_ma/percpu_free_through_map_free
selftest_#497   test_profiler
selftest_#532/1   usdt/basic
selftest_#532/2   usdt/basic_optimized
selftest_#532/3   usdt/optimized_attach
selftest_#532/4   usdt/multispec
selftest_#574/3   verifier_gotol/gotol, large_imm
selftest_#590/1   verifier_liveness_exp/liveness_exponential_complexity
selftest_#651   verif_scale1
selftest_#652   verif_scale2
selftest_#653   verif_scale3
selftest_#660   verif_scale_pyperf100
selftest_#661   verif_scale_pyperf180
selftest_#662   verif_scale_pyperf50
selftest_#663   verif_scale_pyperf600
selftest_#664   verif_scale_pyperf600_bpf_loop
selftest_#667   verif_scale_pyperf_global
selftest_#668   verif_scale_pyperf_subprogs
selftest_#670   verif_scale_strobemeta
selftest_#671   verif_scale_strobemeta_bpf_loop
selftest_#672   verif_scale_strobemeta_nounroll1
selftest_#673   verif_scale_strobemeta_nounroll2
selftest_#674   verif_scale_strobemeta_subprogs
selftest_#704   xdp_noinline
